TOYOTA YARIS III phase 3,"('1.0', 'VVT-I', '72', 'FRANCE')",10 600 €,Publiée il y a 13 jours,286 L,"('Bonne affaire', 'Première main', ""Crit'Air 1"", 'Bluetooth', 'Climatisation', 'Annonce récente')","((('Puissance fiscale :', '4 CV '), ('Puissances :', '(DIN) 72 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '4,7 L/100 km '), ('Emission de CO2 :', 'B104 g/km')))","(',Extérieur et Chassis', ',Peinture intégrale', ',Rétroviseurs électriques', ',Intérieur', ',Ordinateur de bord', ',Tapis de sol', ',Bluetooth', ',Climatisation', ',Direction assistée', ',Fermeture électrique', ',Prise audio USB', ',Siège conducteur réglable hauteur', ',Système audio CD', ',Système audio CD MP3', ',Système audio MP3', ',Vitres électriques', ',Volant et pommeau cuir', ',Volant multifonctions', ',Volant réglable en hauteur et profondeur', ',Sécurité', ',ESP', ',ABS', ',Aide au démarrage en côte', ',AFU', ',Airbags frontaux', ',Détecteur de pluie', ',EBV', ',Fixations ISOFIX', ',Kit téléphone main libre bluetooth', ',Sécurité', ',Phares av. de jour à LED', ',Autre', ',5 places', ',7 Airbags (frontaux', ',Appuis-tête AV et AR réglables en hauteur', ',Calandre inférieure Noire mate', ',Calandre inférieure avec entourage chromé', ',Calandre supérieure avec insert chromé', ',Carrosserie monoton', ',Diffuseur AR Noir', ',Enjoliveurs 15 Kaori', ',Feux avant à extinction différée', ',Finition chrome satiné (aérateurs', ',Finition intérieure chrome satiné', ',Kit de réparation crevaison', ',Miroir de courtoisie coté Passager', ',Miroir de courtoisie coté conducteur', ',Peinture Blanc Pur', ',Planche de bord Soft touch', ',Sellerie tissu Mirabeau', ',Sieges arrières rabattable', ',Toyota Safety Sense Alerte active de franchissement de ligne', ',Toyota Safety Sense Système de sécurité précollision avec détection des piétons', ',Toyota Touch 2', ',Volant avec insert noir brillant', ',compte tours', ',contrôle de pression des pneus', ',phares halogènes', ',volant réglable')"
AUDI A3 IV SPORTBACK,"('1.5', 'S', '35', '150')",41 780 €,Publiée il y a 5 jours,380 L,"('Certifié Audi occasions :plus', 'Bonne affaire', 'Première main', ""Crit'Air 1"", 'Vente en concession', 'Sous garantie constructeur', 'Véhicule récent')","((('Puissance fiscale :', '8 CV '), ('Puissances :', '(DIN) 150 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '5,6 L/100 km '), ('Emission de CO2 :', 'C135 g/km')))","(',Extérieur et Chassis', ',Peinture métallisée', ',Intérieur', ',Régulateur de vitesse', ',Volant cuir', ',Autre', ',5 places', ',Appui lombaire à 4 axes pour les sièges AV : réglages électrique', ',Assistant de feux de route', ',Audi Connect Navigation et Divertissement Plus', ',Pack Esthétique Noir', ',Pack Rangement')"
MINI MINI III 5P,"('2.0', 'COOPER', '192', 'S')",22 230 €,Publiée il y a 12 jours,278 L,"('Caméra de recul', ""Crit'Air 1"", 'Bluetooth', 'Climatisation', 'Offre équitable', 'Annonce récente')","((('Puissance fiscale :', '11 CV '), ('Puissances :', '(DIN) 192 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '5 L/100 km '), ('Emission de CO2 :', 'C136 g/km')))","(',Extérieur et Chassis', ',Peinture métallisée', ',Intérieur', ',Bouton démarrage', ',Bluetooth', ',Régulateur de vitesse', ',Climatisation', ',Prise 12V', ',Régulateur limiteur de vitesse', ',Écran tactile', ',Sécurité', ',ESP', ',Airbags rideaux', ',Antipatinage', ',ABS', ',Airbags latéraux', ',Aide au démarrage en côte', ',Capot à soulèvement pour choc piéton', ',AFU', ',Projecteurs antibrouillard', ',Détecteur de pluie', ',Fixations ISOFIX', ',Phares av. de jour à LED', ',Autre', ',5 places', ',Accès Confort', ',Autre', ',Airbags avant passager intelligent intelligent', ',Airbags nombre de 6', ',Alerte ceinture sécurité', ',Alimentation injection/carburation injection directe essence', ',Applications intégrées', ',Appuis-tête sièges AV nombre 2 réglage en hauteur nombre 2 réglage en hauteur', ',Caméra de recul', ',Commande vent. add. siège passager affichage digital', ',Contrôle des Applications', ',Différentiel à glissement limité AV type électronique', ',Distribution électronique du freinage', ',Feux de détresse automatiques', ',Garnissage Poignée de frein à main sans pommeau du levier de vitesses imitation alliage', ',Garnissage des sièges matière additionnelle tissu matière principale tissu', ',Kit de réparation crevaison', ',Lave-glace chauffant', ',Miroir de courtoisie passager éclairé éclairé', ',Pack Connected Navigation', ',Peinture type normale', ',Roues AV jantes aluminium jantes aluminium', ',Smart card Smart key inclut démarrage sans clé type automatique', ',Système audio écran couleur écran tactile', ',Système d aide au stationnement AR type Capteur', ',accoudoir central', ',contrôle de pression des pneus')"
RENAULT CLIO IV phase 2,"('0.9', 'TCE', '90', 'INTENS')",13 660 €,Publiée il y a 4 jours,300 L,"('Faible kilométrage', 'Bonne affaire', 'Première main', ""Crit'Air 1"", 'Bluetooth', 'Climatisation', 'Annonce récente')","((('Puissance fiscale :', '5 CV '), ('Puissances :', '(DIN) 90 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '5 L/100 km '), ('Emission de CO2 :', 'B113 g/km')))","(',Extérieur et Chassis', ',Aide parking', ',Becquet', ',Jantes alu', ',Peinture opaque', ',Rétroviseurs électriques et dégivrants', ',Intérieur', ',Volant cuir', ',Bluetooth', ',Régulateur de vitesse', ',Banquette 1/3 - 2/3', ',Carte main libre', ',Climatisation automatique', ',Fermeture électrique', ',Prise audio USB', ',Régulateur limiteur de vitesse', ',Siège conducteur réglable hauteur', ',Système audio MP3', ',Vitres électriques', ',Vitres surteintées', ',Sécurité', ',ESP', ',ABS', ',Airbags latéraux', ',Aide au démarrage en côte', ',3 ceintures ar. 3 points', ',AFU', ',Airbags frontaux', ',Sécurité', ',Projecteurs antibrouillard', ',Détecteur de pluie', ',Fixations ISOFIX', ',Phares av. de jour à LED', ',Autre', ',3 couchages', ',5 places', "",Alerte d'oubli de ceinture de sécurité"", ',Ambiance intérieure Noire', ',Appuis-tête AV', "",Cartographie Europe de l'Ouest"", ',Ceintures AV réglables en hauteur', ',Décor Extérieur Chrome', ',Ecomode', ',Harmonie Carbone foncé', ',Indicateur de changement de vitesse', ',Info Traffic', ',Joncs de vitres chromés', ',Kit de réparation crevaison', ',Lunette AR chauffante', ',MediaNav Evolution', ',Navigation Nav&Go', ',Poignées de portes ton caisse', ',Projecteurs AV full LED Pure Vision', ',Rétroviseurs extérieurs ton carrosserie', ',appuis-tête arrière', ',contrôle de pression des pneus', ',dimension des jantes : 16 pouces')"
RENAULT CLIO V,"('1.0', 'TCE', '91', 'BUSINESS')",16 530 €,Publiée il y a 60 jours,284 L,"('Certifié Garantie OR', ""Crit'Air 1"", 'Bluetooth', 'Climatisation', 'Offre équitable')","((('Puissance fiscale :', '5 CV '), ('Puissances :', '(DIN) 91 ch - (moteur) 67 kW ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '5,2 L/100 km '), ('Emission de CO2 :', 'B118 g/km'), ('Prime à la conversion :', ' ')))","(',Extérieur et Chassis', ',Décor Extérieur Chrome', ',Enjoliveurs 16"" Amiticia', ',Aide au démarrage en côte', ',Harmonie beige', ',Roues tôlées 16""', ',Rétroviseurs extérieurs ton caisse', ',Intérieur', ',EASY LINK 7"" : Système multimédia connecté avec écran 7"" avec Navigation et Radio Numérique DAB', ',Ambiance Noir (bandeau planche de bord, entourage de console centrale et panneaux de portes)', "",Tableau de bord avec écran numérique 4,2'' et compteurs analogiques"", ',Volant TEP', ',Siège conducteur réglable en hauteur', ',Evol antenne', ',Pare-soleil avec miroir de courtoisie', ',Navigation', ',Sellerie tissu Noir avec motifs surpiqués', ',Climatisation manuelle', ',APPLE CAR PLAY', ',Android Auto', ',Confort', ',Bluetooth', ',Sécurité', ',Airbag passager déconnectable', ',Airbags frontaux', ',Assistant maintien de voie', ',Feux Full LED', ',Alerte de survitesse avec reconnaissance des panneaux de signalisation', "",Assistance au freinage d'urgence (A.F.U.)"", ',Eclairage AV et AR Full LED Pure Vision', ',Airbags latéraux AV', ',Régulateur limiteur de vitesse', ',Aide au parking AR', ',Feux de stop à LED', ',Appuie-têtes AR', ',Allumage automatique des phares avec capteur de luminosité', "",Aide au freinage actif d'urgence avec détection piétons (AEBS City + Inter Urbain + Piéton)"", ',Kit téléphone main libre bluetooth', ',Autre', ',Clé 3 boutons', ',Evolution de gamme MC3', ',Mode ECO', ',Peinture Gris Platine', ',Roue de secours tôle', ',Réglementation SBR')"
JAGUAR E-PACE phase 2,"('1.5', 'PHEV', '300', 'R-DYNAMIC')",54 200 €,Publiée il y a 11 jours,494 L,"('Bonne affaire', 'Energie verte', 'Peu polluante', 'Caméra de recul', 'Première main', ""Crit'Air 1"", 'Sous garantie constructeur')","((('Rechargeable :', 'oui'), ('Prix inclut batterie :', 'oui')), (('Puissance fiscale :', '11 CV '), ('Puissances :', '(DIN) 309 ch - (moteur) 147 kW ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Emission de CO2 :', 'A44 g/km')))","(',Extérieur et Chassis', ',Plaques de seuils de portes AV en métal avec inscription R-Dynamic', ',Assistance au démarrage en côte', ',Suspension passive', ',Pack Design Extérieur R-Dynamic', ',Volant multifonctions à jante double en cuir pleine fleur avec repose-pouces et badge R-Dynamic', ',Entourage des vitres chromé', ',Palettes de changements de vitesses Satin Chrome', ',Feux AR à LED et signature lumineuse', ',Ouïes latérales en chrome satiné', ',Pavillon en Suédine Ebony', "",Jantes 19'' 5 branches 'Style 5119' finition Satin Dark Grey contrastée Diamond Turned"", "",Double sortie d'échappement cachée derrière le bouclier"", ',Configurable Dynamics', ',Toit couleur carrosserie', ',Frein de stationnement électrique', ',Grille de calandre Gloss Black avec entourage chromé satiné', ',Pneus été', ',Pédalier en métal', ',Toit panoramique', ',Intérieur', ',Ouverture et fermeture électrique du hayon', "",Système de navigation Pivi Pro Connecté avec écran tactile 11,4''"", ',Système Audio Jaguar 180 W avec 6 HP', ',Ecran tactile 11,4""', ',Système Audio Meridian - 400 W et 12 HP dont subwoofer', ',Android Auto', "",Lumière d'ambiance intérieure"", "",Secure Tracker - période d'abonnement d'1 an"", ',Miroirs de courtoisie éclairés dans les pare-soleil AV', ',Climatisation automatique 2 zones', ',Plaque de seuil de chargement en métal', ',Direction électrique à assistance variable (EPAS)', ',Système de surveillance des angles morts', ',Apple CarPlay', ',Contrôle de la vigilance du conducteur', ',Intérieur', "",Rétroviseurs extérieurs chauffants photosensibles rabattables électriquement avec éclairage d'approche (photosensible côté conducteur). Deviennent à mémoire si sélectionnés avec des sièges à mémoire"", ',Rétroviseur intérieur photosensible', ',Sièges Sport en cuir grainé Ebony avec intérieur Ebony/Ebony', "",Système d'assistance de maintien de voie avec détecteur de somnolence"", ',Radio Numérique DAB', ',Remote', ',Pack Online avec forfait de données intégré', ',Tableau de bord analogique avec écran TFT 7"" au centre des compteurs de vitesse', ',Sécurité', ',Torque Vectoring', "",Système de freinage d'urgence à haute vitesse"", ',Caméra de recul', ',Contrôle de stabilité du véhicule DSC', ',Allumage automatique des phares et essuie-glaces', ',Jaguar Drive Control avec Adaptive Surface Response (AdSR)', ',Assistance de maintien de file', "",Aide au freinage d'urgence (EBA)"", "",Caméra stéréoscopique avec freinage d'urgence autonome"", "",Détecteurs d'obstacles AV et AR"", ',Reconnaissance des panneaux de signalisation et limiteur de vitesse adaptatif', ',Système de contrôle de la pression des pneus (TPMS)', ',Phares à LED Premium avec feux de circulation diurnes(DRL), signature LED et clignotants AV/AR à défilement et allumage automatique des feux de route AHBA', ',6 Airbags', ',Régulateur et limiteur de vitesse', ',Contrôle de progression toutes surfaces - ASPC', ',Fixations Isofix', ',Antivol', ',Alarme volumétrique', ',Autre', ',Couvre-bagages', ',Câble de recharge rapide (mode 3 - Wallbox et réseau de recharge public)', ',Détection du trafic en marche AR', ',Kit anti-crevaison', ',Peinture métallisée Santorini Black', ',Réservoir de carburant grande capacité', "",Système d'entrée et de fermeture sans clé"")"
AUDI Q2 phase 2,"('2.0', 'ADVANCED', '35', '150')",42 060 €,Publiée il y a 60 jours,405 L,"('Bonne affaire', 'Caméra de recul', 'Première main', 'Vente en concession', 'Sous garantie constructeur', 'Véhicule récent', 'Climatisation')","((('Puissance fiscale :', '8 CV '), ('Puissances :', '(DIN) 150 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '2\n\n\n\n\n\n '), ('Consommation mixte :', '5 L/100 km '), ('Emission de CO2 :', 'C132 g/km')))","(',Extérieur et Chassis', ',Applications décoratives en Aluminium brossé mat', ',Inscription S line sur les ailes AV', ',Peinture intégrale', ',Blade Argent Magnesium', ',Aide parking', ',Jantes alu', ',Jantes alu 18""', ',Rétroviseurs rabattables électriquement', ',Intérieur', ',Pack Eclairage', ',Audi Music Interface', ',Audi Smartphone Interface', ',Audi Sound System avec 10 HP', "",Système d'information du conducteur avec écran couleur"", ',Sellerie tissu Index', ',Audi Drive Select', ',Trousse de secours et triangle de présignalisation', ',MMI Radio Plus', ',Vitres athermiques', ',Pack intérieur Sport', ',Pack confort', ',Direction progressive', ',Détecteur d’occupation de sièges', ',Ciel de pavillon en tissu Gris Titane', ',Siège conducteur et passager AV réglable en hauteur', ',Eclairage intérieur AV/AR', ',Moulures de seuil de portes éclairées avec insert en aluminium  et inscription ""S""', ',Pare-brise avec bandeau pare-soleil gris', ',Audi Phone Box avec charge du téléphone par induction (standard Qi)', ',Tapis AV et AR', ',Carte main libre', ',Climatisation automatique', ',Pack alu', ',Régulateur de vitesse', ',Régulateur limiteur de vitesse', ',Rétroviseur int. jour/nuit auto', ',Intérieur', ',Sièges sport', ',Support lombaires', ',Vitres électriques', ',Volant cuir', ',Sécurité', ',Assistant de feux de route', ',Caméra de recul', ',Affichage de perte de pression des pneus', ',Pack assistance stationnement', ',Phares Matrix LED avec clignotants dynamiques à l’AR', ',Audi pre sense front', ',Avertissement de sortie de voie', ',Sécurité enfants électrique sur les portières AR', ',Aide au démarrage en côte', ',Airbags frontaux', ',Airbags latéraux', ',Détecteur de pluie', ',Autre', ',5 branches design dynamique', ',5 places', ',7J x 18', ',Audi connect navigation et divertissement', ',Audi connect sécurité et assistance en ligne', "",Carnet d'entretien"", ',Cockpit numérique', ',Feux AR rouges', ',Hayon électrique', ',Kit de réparation crevaison', ',NOIR GRIS / SURPIQ-RES GRIS ROCHE', ',Pack connectivity', ',Peinture métallisée Bleu Navarre', ',Préparation à la navigation avec MMI touch', ',Sieges arrières rabattable', ',accoudoir central', ',contrastées gris', ',radio numérique')"
BMW X5 E70,"('4.8', 'XDRIVE48IA', '355', 'EXCLUSIVE')",29 980 €,Publiée il y a 60 jours,620 L,"('Caméra de recul', 'GPS', 'Bluetooth', 'Climatisation')","((('Puissance fiscale :', '27 CV '), ('Puissances :', '(DIN) 355 ch - (moteur) 261 kW ')), (('Norme euro :', 'EURO4 '), (""Crit'Air :"", '2\n\n\n\n\n\n '), ('Consommation mixte :', '9,6 L/100 km '), ('Emission de CO2 :', 'G299 g/km')))","(',Extérieur et Chassis', ',4 roues motrices', ',Aide parking avec caméra de recul', ',Attelage', ',Jantes alu', ',Lave-phares', ',Lunette arrière dégivrante', ',Marchepieds', ',Peinture métallisée', ',Projecteurs xénon', ',Radar de recul', ',Rétroviseurs électriques et dégivrants', ',Rétroviseurs rabattables électriquement', ',Toit ouvrant panoramique', ',Intérieur', ',2 sièges supplémentaires', ',4 vitres électriques', ',7 places', ',Accoudoir central avant', ',Banquette 1/3 - 2/3', ',Banquette coulissante', ',Banquette fractionnable', ',Banquette rabattable', ',Boite automatique', ',Boite séquentielle', ',Caméra de recul', ',Climatisation automatique multi zone', ',Configuration 7PL', ',Direction assistée', ',Intérieur', ',GPS', ',Kit téléphone main libre', ',Prise 12V', ',Régulateur de vitesse', ',Rétroviseur int. jour/nuit auto', ',Sièges chauffants', ',Sièges électrique à mémoire', ',Sièges électriques', ',Système audio CD MP3', ',Vitres ar. surteintées', ',Volant 3 branches', ',Volant cuir', ',Volant multifonctions', ',Volant réglable en hauteur et profondeur', ',Intérieur cuir', ',Sièges ventilés', ',Sécurité', ',3 ceintures ar. 3 points', ',3e feu stop', ',ABS', ',Airbags', ',Projecteurs antibrouillard', ',Détecteur de pluie', ',Feux automatiques', ',Kit téléphone main libre bluetooth', ',Antivol', ',Anti démarrage', ',Autre', ',Non fumeur')"
