modele,date_loc,info
"['FordTransit courier1.5', '', '                              14 995 €  ']",,
"['FordFocus sw1.5TITANIUM', '', '                              13 890 €  ']",,
"['FordFocus societeTITANIUM', '', '                              13 890 €  ']",,
"['SkodaScala1.0', '', '                              24 850 €  ']",,
"['NissanTownstarACENTA', '', '                              24 950 €  ']",,
"['VolkswagenGolfGte1.4prix initial : 26 990', '', '                              23 999 €  ']",,
"['Fiat500Hybrid1.0DOLCEVITA', '', '                              14 500 €  ']",,
"['VolkswagenArteonR2.0R LINE4MOTIONprix initial : 40 890', '', '                              39 890 €  ']", 10.05.2023 ALLEMAGNEDétail,DIESEL63 500 Km2020AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['HyundaiI30 wagon1.0TRENDprix initial : 22 620', '', '                              21 490 €  ']",,
"['ToyotaCorollaGr2.0GR SPORT', '', '                              25 990 €  ']",,
"['SkodaKodiaq1.5STYLE', '', '                              29 990 €  ']",,
"['OpelAstra1.4INNOVATION', '', '                              11 348 €  ']",,
"['AudiA8V8 3.3QUATTROprix initial : 7 000', '', '                              5 000 €  ']",,
"['HyundaiI101.0', '', '                              15 950 €  ']",,
"['JaguarMark vprix initial : 119 000', '', '                              99 900 €  ']",,
"['AudiA3 sportback35 tdi2.0S LINE', '', '                              41 980 €  ']",,
"['HyundaiTucson1.6prix initial : 42 270', '', '                              35 890 €  ']",,
"['HyundaiTucson1.6TRENDprix initial : 42 940', '', '                              35 950 €  ']",,
"['VolvoXc602.4KINETICAWD', '', '                              10 999 €  ']",,
"['SkodaScala1.0DRIVE', '', '                              18 900 €  ']",,
"['VolkswagenTaigo1.0STYLE', '', '                              27 980 €  ']",,
"['AudiQ540 tdi2.0S LINEQUATTRO', '', '                              53 490 €  ']",,
"['OpelCrossland x1.2EDITION', '', '                              24 950 €  ']",,
"['CupraFormentor1.5', '', '                              38 490 €  ']",,
"['AudiA4 avant40 tfsi2.0', '', '                              47 890 €  ']",,
"['MercedesClasse sS 5004MATICprix initial : 65 000', '', '                              60 100 €  ']",,
"['OpelCorsa1.2EDITION', '', '                              20 490 €  ']",,
"['BmwSerie 5530prix initial : 48 950', '', '                              46 950 €  ']",,
"['VolkswagenTouaregRV6 3.0R LINE4MOTIONprix initial : 62 900', '', '                              58 900 €  ']",,
"['VolkswagenTouran2.0HIGHLINEprix initial : 20 900', '', '                              19 800 €  ']",,
"['MercedesClasse vV 250', '', '                              83 500 €  ']",,
"['HyundaiH12.5prix initial : 2 799', '', '                              2 599 €  ']",,
"['HyundaiI101.0', '', '                              15 950 €  ']", 06.06.2023 ALLEMAGNEDétail,ESSENCE2 469 Km2023MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['HyundaiTucson1.6prix initial : 42 270', '', '                              35 890 €  ']",,
"['AudiQ7V6 3.0S LINEprix initial : 57 999', '', '                              54 799 €  ']",,
"['AudiA6 avant2.0DESIGN', '', '                              30 890 €  ']",,
"['HyundaiI101.0N LINE', '', '                              17 490 €  ']",,
"['HyundaiIoniq 5prix initial : 53 820', '', '                              49 430 €  ']",,
"['NissanQashqai1.3TEKNA', '', '                              47 770 €  ']",,
"['HyundaiI101.0N LINE', '', '                              19 250 €  ']",,
"['HyundaiIoniq 6', '', '                              52 190 €  ']",,
"['HyundaiIoniq 6prix initial : 58 520', '', '                              57 410 €  ']",,
"['VolkswagenPolo1.0CONFORTLINEprix initial : 15 900', '', '                              16 900 €  ']",,
"['HyundaiIoniq 6BOSEprix initial : 64 070', '', '                              55 120 €  ']",,
"['VolkswagenTransporterT62.0prix initial : 19 990', '', '                              18 999 €  ']",,
"['AudiA6 avant40 tdi2.0prix initial : 40 950', '', '                              40 350 €  ']",,
"['SkodaFabia1.0AMBITIONprix initial : 21 990', '', '                              21 290 €  ']",,
"['SkodaScala1.5', '', '                              30 990 €  ']",,
"['SkodaKodiaq1.5STYLE', '', '                              43 490 €  ']",,
"['SkodaKamiq1.0STYLEprix initial : 29 490', '', '                              28 990 €  ']",,
"['NissanJuke1.6TEKNA', '', '                              31 950 €  ']",,
"['NissanX-trailE-power1.5TEKNA4X4', '', '                              49 950 €  ']",,
"['NissanTownstarACENTA', '', '                              32 490 €  ']",,
"['NissanQashqaiE-power1.5TEKNA', '', '                              38 850 €  ']",,
"['BmwSerie 5530prix initial : 21 500', '', '                              20 900 €  ']",,
"['BmwX1Xdrive 20d2.0prix initial : 14 890', '', '                              13 900 €  ']",,
"['HyundaiKonaTREND', '', '                              29 990 €  ']",,
"['HyundaiKonaprix initial : 38 490', '', '                              31 950 €  ']", 14.06.2023 ALLEMAGNEDétail,ELECTRIQUE10 Km2023AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['HyundaiIoniq 6', '', '                              53 840 €  ']",,
"['HyundaiIoniq 5prix initial : 49 850', '', '                              44 950 €  ']",,
"['HyundaiBayon1.0', '', '                              19 900 €  ']",,
"['HyundaiTucson1.6TREND', '', '                              37 850 €  ']",,
"['HyundaiTucson1.6', '', '                              37 950 €  ']",,
"['HyundaiTucson1.6TRENDprix initial : 48 720', '', '                              39 890 €  ']",,
"['HyundaiTucson1.6', '', '                              43 890 €  ']",,
"['HyundaiKonaprix initial : 50 190', '', '                              37 950 €  ']",,
"['HyundaiStaria2.2prix initial : 54 970', '', '                              48 540 €  ']",,
"['HyundaiTucson1.6prix initial : 54 620', '', '                              42 890 €  ']",,
"['HyundaiIoniq 6prix initial : 63 490', '', '                              55 280 €  ']",,
"['OpelAstra1.6', '', '                              46 500 €  ']",,
"['OpelCrossland x1.2ELEGANCEprix initial : 30 900', '', '                              28 490 €  ']",,
"['OpelMokka-eGS LINEprix initial : 30 900', '', '                              29 900 €  ']",,
"['OpelMokka-eELEGANCEprix initial : 37 890', '', '                              30 900 €  ']",,
"['OpelMokka1.2ULTIMATEprix initial : 38 500', '', '                              34 900 €  ']",,
"['OpelAstraPhevELEGANCEprix initial : 36 490', '', '                              33 900 €  ']",,
"['OpelAstra1.6GS LINEprix initial : 38 900', '', '                              33 900 €  ']",,
"['MercedesVitoMarco polo2.0MARCO POLO4MATIC', '', '                              79 900 €  ']",,
"['HyundaiIoniq 6prix initial : 57 490', '', '                              54 890 €  ']",,
"['ToyotaAygo x1.0prix initial : 20 150', '', '                              19 820 €  ']",,
"['NissanQashqaiE-power1.5TEKNA', '', '                              48 590 €  ']",,
"['HyundaiI101.0', '', '                              16 250 €  ']",,
"['HyundaiTucson1.6STYLEprix initial : 18 462', '', '                              16 490 €  ']",,
"['HyundaiKonaprix initial : 38 490', '', '                              32 490 €  ']", 16.06.2023 ALLEMAGNEDétail,ELECTRIQUE54 Km2023AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['HyundaiTucson1.6prix initial : 39 490', '', '                              37 480 €  ']",,
"['HyundaiIoniq 5prix initial : 52 950', '', '                              44 980 €  ']",,
"['HyundaiIoniq 6prix initial : 64 220', '', '                              52 490 €  ']",,
"['HyundaiKonaprix initial : 40 790', '', '                              28 950 €  ']",,
"['DaciaSandero stepway1.5PRESTIGE', '', '                              7 290 €  ']",,
"['FordFiesta1.1TRENDprix initial : 9 700', '', '                              8 990 €  ']",,
"['HyundaiIoniq 5prix initial : 52 950', '', '                              48 250 €  ']",,
"['FiatDoblo1.4SXprix initial : 12 995', '', '                              12 450 €  ']",,
"['OpelAstra break1.6GS LINE', '', '                              33 900 €  ']",,
"['SkodaKodiaq2.0STYLE', '', '                              50 490 €  ']",,
"['ToyotaAygo x1.0prix initial : 19 750', '', '                              19 850 €  ']",,
"['OpelCorsa1.2', '', '                              27 690 €  ']",,
"['VolkswagenGolf sw2.0CONFORTLINEprix initial : 20 500', '', '                              18 900 €  ']",,
"['BmwSerie 2 cabriolet220SPORT', '', '                              36 900 €  ']",,
"['ToyotaYaris1.5', '', '                              18 490 €  ']",,
"['MaseratiLevanteSq4V6 3.0prix initial : 61 950', '', '                              54 950 €  ']",,
"['InfinitiQx70V6 3.7SPORT', '', '                              25 900 €  ']",,
"['HyundaiI30 wagon1.0TRENDprix initial : 22 620', '', '                              21 950 €  ']",,
"['BmwSerie 3 touring320EDITION AVANTAGE', '', '                              22 890 €  ']",,
"['MercedesClasse cC 1801.6', '', '                              21 590 €  ']",,
"['AudiA6 avant40 tdi2.0SPORT', '', '                              49 450 €  ']",,
"['AudiA6 avant40 tdi2.0SPORT', '', '                              47 450 €  ']",,
"['NissanQashqai1.6TEKNA', '', '                              15 950 €  ']",,
"['MercedesClasse cC 230ELEGANCEprix initial : 2 799', '', '                              2 399 €  ']",,
"['MercedesClasse e coupeE 230ELEGANCEprix initial : 2 799', '', '                              2 399 €  ']", 23.06.2023 ALLEMAGNEDétail,ESSENCE321 369 Km2005MANUELLE18528DEVIS ASSURANCEVENDEZ
"['HyundaiIx201.4WORLD CUPprix initial : 13 357', '', '                              11 490 €  ']",,
"['HyundaiKonaprix initial : 44 540', '', '                              32 490 €  ']",,
"['HyundaiKonaprix initial : 40 740', '', '                              29 490 €  ']",,
"['VolkswagenGolf1.4HIGHLINEprix initial : 13 750', '', '                              12 500 €  ']",,
"['FiatTipo1.0CROSS', '', '                              21 900 €  ']",,
"['SkodaEnyaqSPORTLINE', '', '                              45 980 €  ']",,
"['AudiQ540 tdi2.0S LINEQUATTRO', '', '                              44 750 €  ']",,
"['VolkswagenTaigo1.0LIFE', '', '                              27 990 €  ']",,
"['NissanQashqaiE-powerBLACK EDITION', '', '                              45 350 €  ']",,
"['VolkswagenCaddy1.0prix initial : 16 495', '', '                              15 900 €  ']",,
"['FiatTipo1.4', '', '                              13 990 €  ']",,
"['OpelMokka1.2EDITION', '', '                              24 800 €  ']",,
"['OpelMovano combi2.3', '', '                              26 900 €  ']",,
"['DaciaSandero stepwayprix initial : 21 350', '', '                              20 650 €  ']",,
"['Mazda6 break2.0SPORT', '', '                              26 890 €  ']",,
"['SeatTarraco2.0XCELLENCE', '', '                              28 490 €  ']",,
"['HyundaiI30 fastback1.4CREATIVE', '', '                              17 990 €  ']",,
"['SkodaKodiaq2.0', '', '                              48 990 €  ']",,
"['SkodaEnyaq', '', '                              39 490 €  ']",,
"['NissanQashqai1.3N CONNECTAprix initial : 39 490', '', '                              32 490 €  ']",,
"['SkodaKamiq1.5STYLE', '', '                              37 490 €  ']",,
"['MiniMiniCooper1.5', '', '                              21 890 €  ']",,
"['HyundaiI302.0', '', '                              29 890 €  ']",,
"['BmwSerie 2 active tourer2181.5EDITION AVANTAGE', '', '                              17 590 €  ']",,
"['BmwSerie 77303.0', '', '                              23 890 €  ']", 06.07.2023 ALLEMAGNEDétail,DIESEL152 000 Km2013AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['BmwX33.0', '', '                              47 500 €  ']",,
"['BmwZ4M40iprix initial : 51 899', '', '                              52 900 €  ']",,
"['HyundaiI30N performance2.0prix initial : 29 890', '', '                              27 990 €  ']",,
"['FordEcosport1.0COOLprix initial : 17 900', '', '                              16 750 €  ']",,
"['BmwZ4mSPORTprix initial : 51 899', '', '                              52 900 €  ']",,
"['FordFiesta1.1TREND', '', '                              12 990 €  ']",,
"['HyundaiI30 fastbackN performance2.0N LINEprix initial : 39 550', '', '                              37 950 €  ']",,
"['HyundaiKonaprix initial : 40 690', '', '                              28 950 €  ']",,
"['HyundaiI101.0', '', '                              13 950 €  ']",,
"['HyundaiKona1.6prix initial : 30 940', '', '                              29 540 €  ']",,
"['HyundaiI30 wagon1.0prix initial : 25 950', '', '                              24 950 €  ']",,
"['HyundaiKona1.0TRENDprix initial : 25 490', '', '                              24 950 €  ']",,
"['HyundaiKona1.0TRENDprix initial : 24 950', '', '                              23 590 €  ']",,
"['HyundaiTucson1.6', '', '                              39 850 €  ']",,
"['HyundaiKona1.6prix initial : 31 290', '', '                              29 900 €  ']",,
"['HyundaiKona1.6', '', '                              31 950 €  ']",,
"['SeatLeon2.0prix initial : 14 500', '', '                              11 900 €  ']",,
"['HyundaiTucson1.6prix initial : 44 950', '', '                              42 480 €  ']",,
"['AudiA31.6ATTRACTION', '', '                              1 800 €  ']",,
"['OpelMokka1.2ULTIMATE', '', '                              36 590 €  ']",,
"['SkodaFabia1.0ACTIVE', '', '                              16 900 €  ']",,
"['NissanQashqai1.3', '', '                              25 950 €  ']",,
"['VolkswagenGolf sportsvan1.4', '', '                              13 995 €  ']",,
"['MazdaCx-32.0SPORT', '', '                              19 490 €  ']",,
"['HyundaiKona1.6', '', '                              28 490 €  ']", 17.07.2023 ALLEMAGNEDétail,ESSENCE29 987 Km2020AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['HyundaiKona1.6TREND', '', '                              28 950 €  ']",,
"['SkodaKaroq1.6STYLEprix initial : 27 485', '', '                              26 990 €  ']",,
"['SkodaKaroq1.5CLEVERprix initial : 30 985', '', '                              30 990 €  ']",,
"['Porsche911 997Turbo3.6prix initial : 89 990', '', '                              78 990 €  ']",,
"['AudiQ335 tfsi1.5S LINE', '', '                              53 450 €  ']",,
"['AudiQ540 tfsi2.0QUATTRO', '', '                              57 450 €  ']",,
"['BmwX33.0SPORT', '', '                              47 500 €  ']",,
"['MercedesClasse c breakC 200AVANTGARDE', '', '                              38 490 €  ']",,
"['NissanQashqai1.3N CONNECTAprix initial : 29 990', '', '                              28 990 €  ']",,
"['VolkswagenMultivan2.0CONFORTLINEprix initial : 49 490', '', '                              46 999 €  ']",,
"['OpelAstra sports tourer2.0SPORT', '', '                              33 890 €  ']",,
"['SkodaOctavia combi1.2CLASSICprix initial : 7 000', '', '                              6 500 €  ']",,
"['HyundaiKona1.0TRENDprix initial : 26 490', '', '                              25 490 €  ']",,
"['SkodaKaroq2.0AMBITIONprix initial : 37 990', '', '                              35 990 €  ']",,
"['VolkswagenTouaregV6 3.04MOTIONprix initial : 46 900', '', '                              46 899 €  ']",,
"['FordFocus1.5TREND', '', '                              18 590 €  ']",,
"['VolkswagenCaddy1.2prix initial : 15 950', '', '                              14 890 €  ']",,
"['FordFiesta1.1TREND', '', '                              11 450 €  ']",,
"['VolkswagenCaddy1.2prix initial : 14 995', '', '                              14 495 €  ']",,
"['BmwX3Xdrive 20i2.0', '', '                              35 490 €  ']",,
"['BmwX3Xdrive 20i2.0EDITION AVANTAGE', '', '                              38 890 €  ']",,
"['OpelAstra breakELEGANCE', '', '                              33 900 €  ']",,
"['HyundaiKonaN1.6N LINE EXECUTIVEprix initial : 31 290', '', '                              29 900 €  ']",,
"['BmwSerie 4M440i xdrive3.0', '', '                              65 900 €  ']",,
"['KiaCeed sw1.4SPIRIT', '', '                              19 890 €  ']", 01.08.2023 ALLEMAGNEDétail,ESSENCE37 482 Km2018MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['CupraLeon st2.0', '', '                              33 890 €  ']",,
"['HyundaiIoniq 5prix initial : 56 450', '', '                              53 820 €  ']",,
"['BmwSerie 5 touring520', '', '                              32 490 €  ']",,
"['FordKuga2.0prix initial : 25 990', '', '                              24 499 €  ']",,
"['BmwX530d3.0M SPORT', '', '                              74 950 €  ']",,
"['HyundaiSanta fe1.6SIGNATUREprix initial : 61 990', '', '                              54 150 €  ']",,
"['FordF150Super crewprix initial : 71 950', '', '                              69 999 €  ']",,
"['Fiat500x1.6CITY CROSS4X2prix initial : 13 999', '', '                              11 900 €  ']",,
"['OpelMokka1.4EDITION4X4prix initial : 11 995', '', '                              11 400 €  ']",,
"['OpelAstraULTIMATE', '', '                              52 730 €  ']",,
"['NissanQashqai1.3N CONNECTA', '', '                              44 460 €  ']",,
"['FordTransit connect1.5TRENDprix initial : 18 790', '', '                              17 899 €  ']",,
"['BmwSerie 5 gt535prix initial : 13 999', '', '                              12 999 €  ']",,
"['OpelCorsaEDITION', '', '                              33 950 €  ']",,
"['OpelMokka1.2ULTIMATE', '', '                              37 490 €  ']",,
"['OpelCorsaELEGANCE', '', '                              36 835 €  ']",,
"['MazdaCx-52.2', '', '                              10 900 €  ']",,
"['Fiat500Hybrid1.0STAR', '', '                              14 950 €  ']",,
"['SuzukiSx4 s-cross1.6', '', '                              11 690 €  ']",,
"['FordTransit connect1.5prix initial : 14 995', '', '                              14 795 €  ']",,
"['OpelAstra', '', '                              49 900 €  ']",,
"['HyundaiIoniq 6prix initial : 61 490', '', '                              58 520 €  ']",,
"['FordTransit connect1.5TRENDprix initial : 17 190', '', '                              17 499 €  ']",,
"['HyundaiBayon1.0TREND', '', '                              20 680 €  ']",,
"['VolvoS60r2.0R DESIGN', '', '                              32 490 €  ']", 15.08.2023 ALLEMAGNEDétail,ESSENCE28 239 Km2020AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['HyundaiTucson1.6PREMIUM', '', '                              22 480 €  ']",,
"['RenaultKadjar1.3LIMITED', '', '                              19 980 €  ']",,
"['FordFiesta1.5COOL & CONNECTprix initial : 12 750', '', '                              11 500 €  ']",,
"['VolkswagenGolfGti clubsport2.0prix initial : 1 785', '', '                              32 725 €  ']",,
"['KiaCeed2.0SPORTprix initial : 3 950', '', '                              3 550 €  ']",,
"['SkodaKamiq1.5STYLE', '', '                              25 990 €  ']",,
"['FordKuga2.5HYBRIDprix initial : 34 600', '', '                              32 900 €  ']",,
"['FordFiestaSt1.5prix initial : 26 500', '', '                              25 990 €  ']",,
"['MercedesClasse e190 eprix initial : 5 900', '', '                              5 390 €  ']",,
"['VolkswagenGolfGti2.0prix initial : 30 990', '', '                              29 990 €  ']",,
"['SkodaKaroq2.0SPORTLINE', '', '                              44 990 €  ']",,
"['NissanPulsar1.2N TEC', '', '                              11 900 €  ']",,
"['FordB-max1.0SYNC EDITIONprix initial : 14 500', '', '                              13 400 €  ']",,
"['HyundaiI201.2INITIA', '', '                              11 450 €  ']",,
"['HyundaiI201.2CLASSIC', '', '                              11 450 €  ']",,
"['Fiat500c1.0STAR', '', '                              14 950 €  ']",,
"['BmwX3Xdrive 20d2.0EDITION AVANTAGE', '', '                              31 900 €  ']",,
"['FordFocus', '', '                              7 999 €  ']",,
"['CitroenC11.0STYLE', '', '                              7 900 €  ']",,
"['SkodaKaroq1.5STYLE', '', '                              37 990 €  ']",,
"['MiniMiniOne1.5', '', '                              16 890 €  ']",,
"['BmwSerie 3 touring320M SPORT', '', '                              61 900 €  ']",,
"['MercedesClasse sS 63 amg4MATICprix initial : 119 950', '', '                              117 950 €  ']",,
"['SkodaKaroq1.5STYLE', '', '                              37 990 €  ']",,
"['HyundaiKonaN1.6ULTIMATE', '', '                              44 690 €  ']", 25.08.2023 ALLEMAGNEDétail,ESSENCE10 Km2024AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['HyundaiKonaN2.0', '', '                              42 390 €  ']",,
"['BmwX11.5XLINE', '', '                              46 900 €  ']",,
"['BmwSerie 4M4403.0', '', '                              65 900 €  ']",,
"['Land roverDiscoverySd6V6 3.0LANDMARK EDITIONAWDprix initial : 59 999', '', '                              56 450 €  ']",,
"['VolkswagenGolf2.0HIGHLINE', '', '                              20 900 €  ']",,
"['JeepWranglerUnlimitedV6 3.6RUBICONprix initial : 45 990', '', '                              43 990 €  ']",,
"['PorschePanamera4 e hybridV6 2.9PLATINUMprix initial : 154 999', '', '                              146 950 €  ']",,
"['MercedesClasse c breakC 200AVANTGARDEprix initial : 24 800', '', '                              22 500 €  ']",,
"['MercedesClasse cC 200AVANTGARDEprix initial : 24 800', '', '                              22 500 €  ']",,
"['HyundaiI30N performance2.0prix initial : 37 990', '', '                              39 030 €  ']",,
"['HyundaiKona1.6', '', '                              38 950 €  ']",,
"['FordGrand tourneo connect1.5TREND', '', '                              25 999 €  ']",,
"['HyundaiI101.0N LINE', '', '                              20 490 €  ']",,
"['HyundaiKona1.6ECOprix initial : 41 640', '', '                              38 850 €  ']",,
"['NissanQashqai1.2N CONNECTA', '', '                              15 450 €  ']",,
"['AudiTt2.0QUATTROprix initial : 26 590', '', '                              25 490 €  ']",,
"['HyundaiI301.0TREND', '', '                              21 980 €  ']",,
"['BmwX550iM PERFORMANCEprix initial : 69 950', '', '                              71 950 €  ']",,
"['MitsubishiSpace star1.2', '', '                              6 000 €  ']",,
"['AudiA6 avant2.0prix initial : 25 000', '', '                              20 500 €  ']",,
"['ToyotaYaris cross1.5', '', '                              29 800 €  ']",,
"['HyundaiTucson1.6INTRO EDITION', '', '                              18 990 €  ']",,
"['HyundaiTucson1.7TREND', '', '                              18 990 €  ']",,
"['OpelAstra sports tourer1.4SPORT', '', '                              16 750 €  ']",,
"['VolkswagenTouaregRV6 3.0R LINE4MOTIONprix initial : 63 795', '', '                              62 495 €  ']", 08.09.2023 ALLEMAGNEDétail,DIESEL60 700 Km2019AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['BmwX1Sdrive 20i2.0XLINE', '', '                              26 900 €  ']",,
"['Mazda3Skyactiv g1.5', '', '                              9 990 €  ']",,
"['SkodaFabia1.0STYLE', '', '                              22 490 €  ']",,
"['KiaCeed sw1.6EDITION 7', '', '                              14 990 €  ']",,
"['VolkswagenT-cross1.0CROSS', '', '                              26 990 €  ']",,
"['HyundaiTucson1.6TRENDprix initial : 40 700', '', '                              34 980 €  ']",,
"['FiatDucato2.2', '', '                              3 900 €  ']",,
"['VolkswagenTiguan1.4SOUND', '', '                              21 890 €  ']",,
"['VolkswagenGolf1.4LIFE', '', '                              11 900 €  ']",,
"['RenaultKangoo1.5', '', '                              4 999 €  ']",,
"['FiatDobloCargo1.6SX', '', '                              13 100 €  ']",,
"['OpelAstraPhev1.6', '', '                              46 500 €  ']",,
"['HyundaiSanta fe1.6prix initial : 47 990', '', '                              45 920 €  ']",,
"['HyundaiI301.5TRENDprix initial : 30 650', '', '                              25 840 €  ']",,
"['SkodaOctaviaRs2.0', '', '                              21 990 €  ']",,
"['VolkswagenUp!1.0BASE', '', '                              8 750 €  ']",,
"['SkodaScala1.0STYLE', '', '                              16 990 €  ']",,
"['HyundaiKona1.0STYLE', '', '                              16 490 €  ']",,
"['VolkswagenCc2.0', '', '                              16 990 €  ']",,
"['VolkswagenUp!1.0MOVE UP!', '', '                              19 750 €  ']",,
"['MercedesClasse e breakE 200AVANTGARDE', '', '                              51 950 €  ']",,
"['AudiA4 cabrioletV6 3.0prix initial : 7 350', '', '                              4 999 €  ']",,
"['AudiA4 cabrioletV6 3.0prix initial : 7 350', '', '                              4 799 €  ']",,
"['HyundaiIoniq 6prix initial : 61 190', '', '                              56 980 €  ']",,
"['HyundaiSanta fe1.6prix initial : 48 490', '', '                              45 950 €  ']", 16.09.2023 ALLEMAGNEDétail,HYBRIDE14 840 Km2022AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['HyundaiKonaTREND', '', '                              35 490 €  ']",,
"['JaguarF-typeP3002.0R-DYNAMIC BLACKRWDprix initial : 53 950', '', '                              55 950 €  ']",,
"['OpelAstra1.7EDITION PLUS', '', '                              2 555 €  ']",,
"['AudiA6 avant40 tdi2.0SPORT', '', '                              49 890 €  ']",,
"['AudiA6 avant45 tdi3.0SPORTQUATTRO', '', '                              60 890 €  ']",,
"['AudiA6 avant45 tdi3.0SPORTQUATTROprix initial : 60 890', '', '                              59 990 €  ']",,
"['AudiA6 avant45 tdi3.0SPORTQUATTRO', '', '                              61 890 €  ']",,
"['AudiA6 avant45 tdi3.0SPORTQUATTROprix initial : 60 890', '', '                              59 989 €  ']",,
"['HyundaiTucson1.6prix initial : 39 820', '', '                              38 950 €  ']",,
"['HyundaiI301.0', '', '                              24 990 €  ']",,
"['HyundaiI201.0prix initial : 20 320', '', '                              21 360 €  ']",,
"['HyundaiIoniq 5prix initial : 51 120', '', '                              45 980 €  ']",,
"['HyundaiKona1.6TRENDprix initial : 37 200', '', '                              38 240 €  ']",,
"['NissanQashqai1.7', '', '                              21 890 €  ']",,
"['SeatAltea xl1.4', '', '                              7 690 €  ']",,
"['VolkswagenUp!1.0MOVE UP!', '', '                              19 750 €  ']",,
"['MercedesGle coupe 53 amgprix initial : 97 950', '', '                              94 950 €  ']",,
"['RenaultKangoo1.5prix initial : 15 400', '', '                              14 995 €  ']",,
"['PorscheCayenne coupeGtsprix initial : 148 950', '', '                              147 950 €  ']",,
"['VolkswagenUp!1.0MOVE UP!', '', '                              8 700 €  ']",,
"['HyundaiKona1.0PREMIUM', '', '                              18 490 €  ']",,
"['BmwSerie 3 touring3.0', '', '                              55 890 €  ']",,
"['OpelCorsaEDITION', '', '                              33 900 €  ']",,
"['HyundaiI30N performance2.0prix initial : 41 990', '', '                              44 190 €  ']",,
"['HyundaiI30N performance2.0prix initial : 39 990', '', '                              41 690 €  ']", 21.09.2023 ALLEMAGNEDétail,ESSENCE10 Km2024AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
"['BmwSerie 5 touring540', '', '                              55 890 €  ']",,
"['FordKa+COOL & CONNECTprix initial : 12 500', '', '                              12 350 €  ']",,
"['MercedesClasse gG 350prix initial : 119 950', '', '                              121 950 €  ']",,
"['MercedesClasse aA 2004MATICprix initial : 18 999', '', '                              16 999 €  ']",,
"['SmartFortwo1.0PASSIONprix initial : 12 450', '', '                              11 990 €  ']",,
"['VolvoV602.0MOMENTUMprix initial : 28 400', '', '                              26 600 €  ']",,
"['VolkswagenMultivan2.0HIGHLINEprix initial : 62 000', '', '                              60 999 €  ']",,
"['RenaultKadjar1.3ZEN', '', '                              18 750 €  ']",,
"['OpelAstra sports tourer1.5SPORT', '', '                              38 450 €  ']",,
"['OpelCombo life1.5EDITION', '', '                              18 450 €  ']",,
"['HondaCivic1.8prix initial : 7 500', '', '                              6 500 €  ']",,
"['VolkswagenVentoVr6', '', '                              11 500 €  ']",,
"['MercedesClasse glcGlc 43 amg3.04MATICprix initial : 63 500', '', '                              61 900 €  ']",,
"['MercedesClasse cC 200', '', '                              7 500 €  ']",,
"['SkodaOctavia scout2.0SCOUT', '', '                              37 990 €  ']",,
"['SkodaKamiq1.0CLEVER', '', '                              26 490 €  ']",,
"['VolkswagenT-roc1.5STYLE', '', '                              33 890 €  ']",,
"['BmwX640d3.0SPORT', '', '                              41 950 €  ']",,
"['Fiat500x1.4S4X2', '', '                              11 900 €  ']",,
"['Fiat5001.2LOUNGE', '', '                              10 900 €  ']",,
"['VolkswagenGolf1.5LIFE', '', '                              22 990 €  ']",,
"['AudiA4 avant40 tdi2.0S LINE', '', '                              57 750 €  ']",,
"['HyundaiIx201.4CLASSIC', '', '                              12 990 €  ']",,
"['OpelCrossland x1.2GS LINE', '', '                              27 840 €  ']",,
"['CitroenC11.2SHINEprix initial : 6 750', '', '                              6 200 €  ']", 01.10.2023 ALLEMAGNEDétail,ESSENCE86 000 Km2014MANUELLE18528DEVIS ASSURANCEVENDEZ
"['BmwSerie 7728sponsorisée', '', '                              NC  ']",,
"['AudiQ230 tfsi1.0', '', '                              24 990 €  ']",,
"['ToyotaProace2.0CONFORTprix initial : 40 990', '', '                              39 990 €  ']",,
"['MitsubishiEclipse cross2.4', '', '                              34 490 €  ']",,
"['VolkswagenGolf sportsvan1.2ALLSTAR', '', '                              14 490 €  ']",,
"['VolkswagenCrosstouran2.0', '', '                              15 995 €  ']",,
"['BmwX4Xdrive 20dXLINE', '', '                              27 490 €  ']",,
"['MitsubishiEclipse cross', '', '                              34 890 €  ']",,
"['SkodaOctavia combi2.0prix initial : 10 999', '', '                              10 300 €  ']",,
"['HyundaiI30 wagon1.6TREND', '', '                              15 980 €  ']",,
