modele,date_loc,info
"['', '                    ', '                        RenaultMaster                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            13 200', '                        ', '                        ', '                                                ', '', '                              12 500 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']","
                                                         07.10.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail
                        
                                            ","

                        
                        
                            
                                DIESEL
                            
                                                        
                                123 798 Km
                            
                                                        
                                2014
                            
                            
                                MANUELLE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ
                                                                                                            
                        

                        
                    "
"['BmwX12.0', '', '                              10 000 €  ']",,
"['OpelAstra1.6', '', '                              1 200 €  ']",,
"['KiaCeed1.4EDITION 7prix initial : 13 800', '', '                              12 999 €  ']",,
"['KiaCeed sw1.6SPIRITprix initial : 22 150', '', '                              21 450 €  ']",,
"['Fiat500Hybrid1.0LOUNGE', '', '                              11 950 €  ']",,
"['Audi1002.3', '', '                              4 500 €  ']",,
"['KiaCeed sw1.6SPIRITprix initial : 22 050', '', '                              20 950 €  ']",,
"['HyundaiI301.4N LINE', '', '                              13 700 €  ']",,
"['KiaXceed1.6', '', '                              21 100 €  ']",,
"['KiaXceed1.6prix initial : 20 150', '', '                              19 999 €  ']",,
"['KiaCeed sw1.4GT LINE', '', '                              17 950 €  ']",,
"['FordKuga2.0ST LINE4X2', '', '                              19 800 €  ']",,
"['BmwSerie 5 touring520prix initial : 25 890', '', '                              24 900 €  ']",,
"['Trabant6010.6', '', '                              4 300 €  ']",,
"['KiaXceed1.4', '', '                              17 900 €  ']",,
"['FordKuga2.5TITANIUMprix initial : 26 400', '', '                              23 999 €  ']",,
"['FordKuga1.5TITANIUM4X2prix initial : 16 900', '', '                              17 750 €  ']",,
"['KiaStonic1.2EDITION 7', '', '                              14 999 €  ']",,
"['HyundaiTucson1.6STYLE', '', '                              18 999 €  ']",,
"['Fiat500prix initial : 8 000', '', '                              7 750 €  ']",,
"['Fiat500c0.9', '', '                              10 999 €  ']",,
"['SkodaYeti1.4AMBITION', '', '                              13 900 €  ']",,
