modele,prix_initial,prix_actuel,date_loc,info
BmwSerie 3 coupeM3 gts,,229 770 €,,
HondaNsxV6 3.2,,NC,,
Ferrari330,,419 330 €,,
Toyota2000gt,,1 180 096 €,,
Ferrari488 pista spider,,NC,,
SubaruImprezaWrx sti,,67 782 €,,
Aston martinVantageGt8,,227 472 €,,
Ferrari488 pista,,342 357 €,,
Aston martinOne-77V12 7.3,,NC,,
Lotus3-eleven,,103 396 €,,
Ferrari296GtbV6 3.0,,286 982 €,,
JaguarXjc5.3,,NC,,
Alfa romeoSpider duetto,,NC,,
Alfa romeoGiulia gtVeloce2.0VELOCE,,NC,,
MercedesClasse sl190 sl,,NC,,
Porsche911 964Turbo3.6,,NC,,
FordMustangFastback,,NC,,
JaguarMark 23.8,,NC, 07.09.2023 CHINEDétail,--1961--DEVIS ASSURANCEVENDEZ
JaguarXj125.3,,NC,,
JaguarType e3.8,,NC,,
Porsche911 cabriolet 993Carrera 2,,NC,,
MercedesClasse slk,,NC,,
MercedesClasse sl280 sl,,NC,,
Ferrari488 spider70TH ANNIVERSARY,,NC,,
Ferrari250Gte,,NC,,
Land roverDefenderAWD,,NC,,
Porsche911,,NC,,
MitsubishiGalant,,NC,,
Bmw3.0,,NC,,
Porsche918 spyderWeissach edition,,NC,,
NissanSkylineGt-r,,NC,,
Mc larenSennaV8 4.0,,NC,,
Rolls royceGhostBLACK BADGE,,NC,,
Ferrari575Superamerica,,NC,,
DodgeViperRt 10,,NC,,
Ferrari488 pista,,330 868 €,,
ToyotaFj cruiser,,20 283 €,,
ChevroletTahoe,,57 161 €,,
FordF350,,18 439 €,,
LexusNx 200tFWD,,25 815 €,,
HyundaiElantraLIMITEDprix initial : 8 758,,6 915 €,,
HyundaiKonaLIMITED,,24 892 €,,
Porsche911prix initial : 146 486,,141 058 €, 02.09.2023 ETATS-UNISDétail,ESSENCE15 434 Km2017AUTOMATIQUE96801DEVIS ASSURANCEVENDEZ
AcuraTsxSPORTprix initial : 12 907,,12 446 €,,
Toyota4runner,,57 622 €,,
ToyotaVenza2.7LIMITED EDITION,,11 893 €,,
NissanQuestV6 3.5SV,,7 283 €,,
NissanMuranoV6 3.5SVprix initial : 10 602,,9 957 €,,
Chrysler300cS,,9 215 €,,
NissanVersa,,5 527 €,,
LexusEs 350,,9 680 €,,
NissanAltima2.5S,,5 527 €,,
DodgeGrand caravanV6 3.6,,12 903 €,,
ToyotaCamry,,6 269 €,,
ToyotaTacoma,,53 012 €,,
FordF150,,42 410 €,,
ToyotaTundra,,34 573 €,,
FordEscape,,16 595 €,,
FordEscape,,19 361 €,,
JeepRenegade,,18 439 €,,
NissanNv200,,18 439 €,,
FordF150,,32 264 €,,
GmcTerrainprix initial : 30 424,,27 198 €,,
DodgeDurangoprix initial : 5 992,,5 347 €,,
MazdaCx-7,,3 683 €,,
ToyotaCamry,,4 236 €,,
VolkswagenCcR LINE,,NC,,
JeepGladiatorprix initial : 36 878,,34 573 €, 21.10.2023 ETATS-UNISDétail,ESSENCE23 973 Km2021AUTOMATIQUE96820DEVIS ASSURANCEVENDEZ
LexusIs 300,,33 651 €,,
ChevroletCruze1.4LT,,5 993 €,,
JeepWrangler4X4prix initial : 11 984,,11 062 €,,
ScionXb,,6 449 €,,
FordFiesta,,7 371 €,,
DodgeCharger,,7 371 €,,
ToyotaSienna,,28 442 €,,
SubaruBrz,,29 963 €,,
Toyota4runnerprix initial : 30 424,,29 963 €,,
ToyotaSienna,,29 963 €,,
ToyotaTacoma,,48 402 €,,
FordTransitWagonprix initial : 46 097,,43 793 €,,
GmcSierra 1500Crew cab,,53 934 €,,
JeepCompass,,19 361 €,,
AudiA42.0PREMIUM EDITIONQUATTRO,,19 269 €,,
JeepWranglerUnlimited,,21 666 €,,
HondaOdyssey,,17 056 €,,
ChevroletCamaroRsV6 3.6LT,,15 212 €,,
AudiA62.0PREMIUM EDITION,,17 978 €,,
FordMustang cabriolet,,18 439 €,,
MiniMiniJohn cooper works,,23 971 €,,
JeepWranglerUnlimited,,25 354 €,,
VolkswagenJetta,,8 293 €,,
ToyotaPrius,,11 981 €,,
BmwSerie 3328,,11 059 €, 22.10.2023 ETATS-UNISDétail,ESSENCE144 828 Km2015AUTOMATIQUE96898DEVIS ASSURANCEVENDEZ
ToyotaTacomaprix initial : 36 878,,33 651 €,,
ChevroletTrax,,15 212 €,,
JeepWrangler,,18 439 €,,
FordEdge,,18 439 €,,
VolkswagenEos,,18 439 €,,
MazdaMx5,,21 666 €,,
GmcCanyon,,27 198 €,,
ToyotaCorollaLIMITED EDITION,,10 137 €,,
MercedesClasse clkClk 350,,12 446 €,,
MiniCountrymanCooper,,17 512 €,,
BuickLacrossePREMIUM,,15 672 €,,
AcuraTlV6 3.2,,4 610 €,,
JeepGrand cherokee,,30 885 €,,
ToyotaTacoma,,43 793 €,,
Toyota4runner,,53 934 €,,
Toyota4runner,,59 927 €,,
BmwSerie 33283.0,,8 205 €,,
LexusIs 2502.5,,9 127 €,,
JeepCherokeeLATITUDE,,9 957 €,,
VolkswagenPassatV6 2.5,,9 220 €,,
ToyotaPrius c,,11 059 €,,
ChevroletCruzeECO,,6 449 €,,
NissanAltima2.5,,7 375 €,,
MazdaCx-5,,25 354 €,,
HondaCr-v,,27 659 €, 24.10.2023 ETATS-UNISDétail,ESSENCE76 481 Km2019AUTOMATIQUE96820DEVIS ASSURANCEVENDEZ
DodgeChallenger,,27 659 €,,
ChryslerPacifica,,27 659 €,,
HondaAccord,,24 432 €,,
MercedesClasse cC 3004MATIC,,18 255 €,,
ToyotaRav4,,20 283 €,,
HyundaiSanta fe2.2,,16 134 €,,
ToyotaRav4LIMITED EDITION,,19 356 €,,
FordFocus,,18 439 €,,
DodgeJourney,,14 751 €,,
ChevroletColoradoV6 3.6,,16 590 €,,
MercedesClasse eE 550V8 5.0,,15 669 €,,
HondaOdysseyV6 3.5EX,,14 747 €,,
ToyotaRav4LIMITED EDITION,,15 489 €,,
MercedesClasse claCla 250,,22 127 €,,
FordFiesta1.6,,8 293 €,,
MercedesClasse mMl 350,,10 137 €,,
HondaCivic1.8,,6 449 €,,
CadillacAts2.0,,12 906 €,,
NissanFrontierV6 4.0SV,,13 825 €,,
ToyotaChaser,,12 446 €,,
HondaAccordEX,,11 985 €,,
LexusRx 350,,32 268 €,,
ChevroletColoradoZ71,,29 502 €,,
SubaruImprezaWrx,,32 268 €,,
InfinitiQx50,,29 041 €, 26.10.2023 ETATS-UNISDétail,ESSENCE19 475 Km2021AUTOMATIQUE96820DEVIS ASSURANCEVENDEZ
DodgeJourney,,18 439 €,,
