Titre,motclé,prix2,date,upper,information,information7,information8
300 000 KM,"HONDA
CR-V
2.44X4",, 19/12/2022, PEROU,ESSENCE,1998,AUTOMATIQUE
62 000 KM,"MAZDA
2
1.5SPORT",, 19/12/2022, PEROU,ESSENCE,2013,AUTOMATIQUE
34 589 KM,"DODGE
DURANGO
V6 3.6","

                              38 835 €  ", 21/12/2022, PEROU,ESSENCE,2018,AUTOMATIQUE
50 500 KM,"MAZDA
3
2.5SPORT",, 21/12/2022, PEROU,ESSENCE,2020,MANUELLE
80 000 KM,"HONDA
PILOT
V6 3.5",, 22/12/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
68 000 KM,"MAZDA
2
1.5",, 23/12/2022, PEROU,ESSENCE,2016,MANUELLE
35 000 KM,"TOYOTA
RAV4
2.04X2",, 24/12/2022, PEROU,ESSENCE,2018,AUTOMATIQUE
110 000 KM,"HONDA
CR-V
2.0",, 24/12/2022, PEROU,ESSENCE,2008,AUTOMATIQUE
49 351 KM,"TOYOTA
YARIS
1.3",, 24/12/2022, PEROU,ESSENCE,2016,MANUELLE
32 000 KM,"TOYOTA
YARIS
1.3",, 24/12/2022, PEROU,ESSENCE,2018,MANUELLE
36 000 KM,"MAZDA
CX-3
2.0",, 24/12/2022, PEROU,ESSENCE,2020,MANUELLE
80 000 KM,"HYUNDAI
SANTA FE
2.4GL4X2",, 26/12/2022, PEROU,ESSENCE,2013,AUTOMATIQUE
130 000 KM,"CHEVROLET
CRUZE
1.8LS",, 28/12/2022, PEROU,ESSENCE,2013,MANUELLE
74 860 KM,"SUZUKI
GRAND VITARA
1.6",, 28/12/2022, PEROU,ESSENCE,2011,MANUELLE
95 085 KM,"SUBARU
OUTBACK
2.5",, 29/12/2022, PEROU,ESSENCE,2012,AUTOMATIQUE
55 000 KM,"MAZDA
3
2.5SPORT",, 29/12/2022, PEROU,ESSENCE,2018,AUTOMATIQUE
73 400 KM,"KIA
CERATO
1.6EX",, 29/12/2022, PEROU,ESSENCE,2017,AUTOMATIQUE
63 300 KM,"SUBARU
LEGACY
2.5LIMITED",, 29/12/2022, PEROU,ESSENCE,2013,MANUELLE
63 503 KM,"SUZUKI
GRAND NOMADE",, 31/12/2022, PEROU,ESSENCE,2008,MANUELLE
87 144 KM,"JEEP
GRAND CHEROKEE
V6 3.6LAREDO",, 31/12/2022, PEROU,ESSENCE,2014,AUTOMATIQUE
79 800 KM,"FIAT
UNO
1.4",, 01/01/2023, PEROU,ESSENCE,2016,MANUELLE
44 000 KM,"FORD
EXPEDITION
V8 5.4","

                              20 821 €  ", 01/01/2023, PEROU,ESSENCE,2013,AUTOMATIQUE
65 781 KM,"NISSAN
X-TRAIL
X","

                              14 393 €  ", 02/01/2023, PEROU,ESSENCE,2016,AUTOMATIQUE
53 308 KM,"NISSAN
X-TRAIL
X","

                              15 299 €  ", 03/01/2023, PEROU,ESSENCE,2015,AUTOMATIQUE
15 500 KM,"CHANGAN
CS35
LUXURY",, 03/01/2023, PEROU,ESSENCE,2021,AUTOMATIQUE
49 500 KM,"TOYOTA
YARIS
1.3",, 03/01/2023, PEROU,ESSENCE,2014,MANUELLE
17 000 KM,"CHANGAN
CS35
1.6LUXURY",, 03/01/2023, PEROU,ESSENCE,2022,AUTOMATIQUE
52 000 KM,"VOLKSWAGEN
GOL
1.6",, 03/01/2023, PEROU,ESSENCE,2020,MANUELLE
149 258 KM,"HYUNDAI
TUCSON
2.0CONFORT4X2",, 04/01/2023, PEROU,ESSENCE,2007,MANUELLE
55 000 KM,"DODGE
NITRO
V6 3.74X4",, 04/01/2023, PEROU,ESSENCE,2009,-
61 105 KM,"KIA
SPORTAGE
2.04X4",, 04/01/2023, PEROU,ESSENCE,2017,AUTOMATIQUE
78 000 KM,"SUZUKI
SWIFT
1.4GL",, 04/01/2023, PEROU,ESSENCE,2015,MANUELLE
68 000 KM,"HYUNDAI
CRETA
1.6STYLE",, 06/01/2023, PEROU,ESSENCE,2018,AUTOMATIQUE
22 500 KM,"CHANGAN
CS35
1.6",, 09/01/2023, PEROU,ESSENCE,2021,AUTOMATIQUE
46 750 KM,"FORD
ESCAPE
SE","

                              22 541 €  ", 10/01/2023, PEROU,ESSENCE,2019,AUTOMATIQUE
130 000 KM,"KIA
CERATO
1.6L",, 10/01/2023, PEROU,ESSENCE,2010,MANUELLE
89 000 KM,"TOYOTA
COROLLA
1.6",, 10/01/2023, PEROU,ESSENCE,2013,AUTOMATIQUE
547 500 KM,"CITROEN
DS4
1.6SO CHIC",, 11/01/2023, PEROU,ESSENCE,2015,AUTOMATIQUE
100 000 KM,"TOYOTA
HILUX
DOUBLE CABINE2.4S4X4",, 11/01/2023, PEROU,ESSENCE,2018,-
100 000 KM,"TOYOTA
CAMRY
V6 3.0GX",, 11/01/2023, PEROU,ESSENCE,1997,AUTOMATIQUE
120 000 KM,"JEEP
GRAND CHEROKEE
V8 5.2LAREDO4X4",, 11/01/2023, PEROU,ESSENCE,1997,-
24 520 KM,"LEXUS
IS
2.0",, 12/01/2023, PEROU,ESSENCE,2017,AUTOMATIQUE
78 000 KM,"VOLKSWAGEN
GOL
1.6CONCEPT",, 12/01/2023, PEROU,ESSENCE,2020,MANUELLE
154 000 KM,"KIA
MOHAVE
V6 3.8",, 12/01/2023, PEROU,ESSENCE,2010,AUTOMATIQUE
145 000 KM,"JEEP
GRAND CHEROKEE
V8 6.4LAREDO4X2",, 12/01/2023, PEROU,ESSENCE,2001,AUTOMATIQUE
170 000 KM,"HYUNDAI
SONATA
2.0",, 13/01/2023, PEROU,ESSENCE,2008,-
89 795 KM,"PEUGEOT
PARTNER
1.6",, 13/01/2023, PEROU,ESSENCE,2018,MANUELLE
120 000 KM,"NISSAN
FRONTIER
2.5",, 14/01/2023, PEROU,DIESEL,2016,MANUELLE
72 000 KM,"MITSUBISHI
OUTLANDER
2.0",, 15/01/2023, PEROU,ESSENCE,2016,AUTOMATIQUE
20 850 KM,"MAZDA
CX-3
2.0",, 15/01/2023, PEROU,ESSENCE,2020,MANUELLE
164 000 KM,"CITROEN
XANTIA
1.9",, 15/01/2023, PEROU,ESSENCE,1995,MANUELLE
16 000 KM,"HONDA
CR-V
1.5EX L",, 16/01/2023, PEROU,ESSENCE,2022,AUTOMATIQUE
10 000 KM,"TOYOTA
COROLLA
1.6",, 16/01/2023, PEROU,ESSENCE,2008,MANUELLE
63 000 KM,"VOLKSWAGEN
GOL
1.6",, 16/01/2023, PEROU,ESSENCE,2017,MANUELLE
39 500 KM,"ALFA ROMEO
GIULIETTA SPRINT
VELOCEVELOCE","

                              75 000 €  ", 16/01/2023, PEROU,-,1961,-
8 500 KM,"NISSAN
VERSA
1.6",, 17/01/2023, PEROU,ESSENCE,2022,MANUELLE
56 000 KM,"HYUNDAI
CRETA
1.6CONFORT",, 18/01/2023, PEROU,ESSENCE,2020,MANUELLE
27 000 KM,"MAZDA
CX-30",, 18/01/2023, PEROU,ESSENCE,2021,AUTOMATIQUE
100 000 KM,"JEEP
GRAND CHEROKEE
V8 6.4LAREDO4X4",, 18/01/2023, PEROU,ESSENCE,2016,AUTOMATIQUE
50 833 KM,"JEEP
GRAND CHEROKEE
SRTV8 6.1",, 20/01/2023, PEROU,ESSENCE,2008,AUTOMATIQUE
2 935 KM,"FORD
RANGER
V6 3.2","

                              32 136 €  ", 20/01/2023, PEROU,DIESEL,2022,MANUELLE
141 000 KM,"SKODA
FABIA
1.6","

                              5 884 €  ", 20/01/2023, PEROU,ESSENCE,2011,AUTOMATIQUE
39 149 KM,"FORD
RANGER
V6 3.2LIMITED","

                              34 852 €  ", 21/01/2023, PEROU,DIESEL,2022,AUTOMATIQUE
82 KM,"BMW
SERIE 1
135","

                              46 982 €  ", 21/01/2023, PEROU,ESSENCE,2023,AUTOMATIQUE
131 885 KM,"TOYOTA
FORTUNER",, 22/01/2023, PEROU,DIESEL,2011,AUTOMATIQUE
97 830 KM,"TOYOTA
FJ CRUISER","

                              24 894 €  ", 22/01/2023, PEROU,ESSENCE,2012,MANUELLE
25 000 KM,"VOLKSWAGEN
TIGUAN ALLSPACE
1.4","

                              19 915 €  ", 23/01/2023, PEROU,ESSENCE,2020,AUTOMATIQUE
58 000 KM,"JEEP
CHEROKEE
2.4LONGITUDE4X4",, 23/01/2023, PEROU,ESSENCE,2017,AUTOMATIQUE
91 000 KM,"MAZDA
3
1.6GS",, 23/01/2023, PEROU,ESSENCE,2016,MANUELLE
75 000 KM,"HYUNDAI
ELANTRA
1.6CONFORT",, 23/01/2023, PEROU,ESSENCE,2016,MANUELLE
50 000 KM,"CHEVROLET
SAIL","

                              6 337 €  ", 23/01/2023, PEROU,ESSENCE,2011,MANUELLE
321 784 KM,"KIA
RIO
1.4EX",, 23/01/2023, PEROU,ESSENCE,2012,MANUELLE
29 000 KM,"HAVAL
JOLION",, 23/01/2023, PEROU,ESSENCE,2022,MANUELLE
99 100 KM,"FORD
ECOSPORT
1.6FREESTYLE",, 23/01/2023, PEROU,ESSENCE,2016,MANUELLE
9 000 KM,"FORD
EXPEDITION
V6 3.5LIMITED",, 23/01/2023, PEROU,ESSENCE,2021,AUTOMATIQUE
125 500 KM,"KIA
RIO
1.4EX",, 23/01/2023, PEROU,ESSENCE,2013,MANUELLE
10 KM,"NISSAN
VERSA
1.6",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"CHEVROLET
ONIX
1.0LT",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"HYUNDAI
VERNA
1.4",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
MX5
2.0",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"SUZUKI
CELERIO
1.0GL",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"SUZUKI
JIMNY
1.5GLX",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"HYUNDAI
VELOSTER
1.6GLS",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"SUZUKI
S-PRESSO
GA",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"NISSAN
SENTRA
2.0",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"CHERY
TIGGO
1.5",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"CHEVROLET
SPARK
1.2",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"SUZUKI
CELERIO
1.0GL",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"CHERY
TIGGO
1.5",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"HYUNDAI
VENUE
CONFORT",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"RENAULT
KWID
1.0INTENS",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"JAC
T8 PRO","

                              21 807 €  ", 23/01/2023, PEROU,DIESEL,2024,MANUELLE
10 KM,"KIA
PICANTO
1.0LX",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"RENAULT
CAPTUR
2.0ZEN4X2",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"SUZUKI
JIMNY
1.5GLX",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"NISSAN
KICKS",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
MX5
2.0",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"TOYOTA
COROLLA
1.8",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"JAC
REFINE","

                              18 096 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"JAC
T8 PRO","

                              20 540 €  ", 23/01/2023, PEROU,DIESEL,2024,MANUELLE
10 KM,"SUZUKI
ERTIGA
GL",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"FIAT
MOBI
1.0",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"TOYOTA
COROLLA
2.0",, 23/01/2023, PEROU,DIESEL,2024,AUTOMATIQUE
10 KM,"CHEVROLET
ONIX
1.0RS",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"FIAT
MOBI
1.0EASY",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"CHANGAN
CS35
LUXURY",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"RENAULT
KWID
1.0LIFE",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"SUZUKI
SWIFT
1.2GLS",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"HYUNDAI
CRETA
2.0CONFORT",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"BMW
X5
40D",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
CX-5
2.0","

                              32 580 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"TOYOTA
FORTUNER
2.7",, 23/01/2023, PEROU,DIESEL,2024,AUTOMATIQUE
10 KM,"CHERY
TIGGO
1.5",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
3
2.0","

                              20 812 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"KIA
SOLUTO
1.4LX",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MITSUBISHI
MONTERO
V6 3.5ES SPORT",, 23/01/2023, PEROU,DIESEL,2024,MANUELLE
10 KM,"CHEVROLET
ONIX
1.0LTZ",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MITSUBISHI
MONTERO
V6 3.0ES SPORT",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"RENAULT
MASTER
2.3",, 23/01/2023, PEROU,DIESEL,2024,MANUELLE
10 KM,"CHERY
ARRIZO 5",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
2
1.5","

                              16 738 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"NISSAN
SENTRA
2.0SR",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"JAC
T8 PRO","

                              24 252 €  ", 23/01/2023, PEROU,DIESEL,2024,MANUELLE
10 KM,"HYUNDAI
I30
1.6GLS",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"JAC
SUNRAY",, 23/01/2023, PEROU,DIESEL,2024,MANUELLE
10 KM,"MAZDA
6
2.5SIGNATURE","

                              33 938 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"TOYOTA
RAV4
2.04X2",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"CHEVROLET
SPARK
1.2",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"CHEVROLET
TAHOE
V8 5.3LT",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"HYUNDAI
I10
1.0CONFORT",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
3
2.0SPORT","

                              21 717 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"RENAULT
DUSTER
2.0INTENS",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"TOYOTA
RUSH
1.5",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"TOYOTA
ETIOS
1.5",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"BAIC
X35",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
CX-5
2.0","

                              29 864 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
CX-9
2.5SIGNATURE","

                              47 517 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
2
1.5","

                              17 643 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"FIAT
PULSE",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"TOYOTA
YARIS
1.3",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MITSUBISHI
XPANDER
1.5GLX",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
CX-3
2.04X4","

                              25 338 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"TOYOTA
PRIUS
1.8",, 23/01/2023, PEROU,HYBRIDE,2024,AUTOMATIQUE
10 KM,"MITSUBISHI
ASX
2.0",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"HONDA
PILOT
V6 3.5EX L",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"SUZUKI
APV
1.6",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
CX-9
2.5","

                              39 369 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"TOYOTA
COMMUTER",, 23/01/2023, PEROU,DIESEL,2024,MANUELLE
10 KM,"MAZDA
2
1.5SPORT","

                              18 096 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"TOYOTA
YARIS
1.3",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"HAVAL
JOLION","

                              19 635 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"SUZUKI
APV
1.6",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"JAC
REFINE","

                              18 730 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"SUZUKI
ERTIGA
GL",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
CX-30","

                              23 527 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"SUZUKI
S-CROSS
1.6GL",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
CX-3
2.0","

                              17 191 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"GEELY
COOLRAY
1.5",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"RENAULT
CAPTUR
2.0INTENS4X2",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"HYUNDAI
IONIQ",, 23/01/2023, PEROU,ELECTRIQUE,2024,AUTOMATIQUE
10 KM,"MAZDA
CX-30","

                              26 243 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"HYUNDAI
SANTA FE
1.6CONFORT",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"JEEP
GRAND CHEROKEE
V8 6.4LIMITED4X4",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"SUZUKI
SWIFT
1.2GLS",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"JEEP
GRAND CHEROKEE
V8 6.4LIMITED4X4",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"SUBARU
IMPREZA
1.6",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"NISSAN
VERSA
1.6",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"BMW
X3
XDRIVE 20D2.0",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"SUZUKI
SWIFT
1.2",, 23/01/2023, PEROU,HYBRIDE,2024,MANUELLE
10 KM,"MITSUBISHI
OUTLANDER
2.0",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"NISSAN
SENTRA
2.0",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"NISSAN
MARCH
1.6",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"TOYOTA
PRIUS C
1.5",, 23/01/2023, PEROU,HYBRIDE,2024,AUTOMATIQUE
10 KM,"HYUNDAI
PALISADE
STYLE",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"FIAT
CRONOS
1.3",, 23/01/2023, PEROU,DIESEL,2024,MANUELLE
10 KM,"HAVAL
H6","

                              28 054 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MITSUBISHI
XPANDER
1.5",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"CHEVROLET
TRACKER
LTZ",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"TOYOTA
C-HR
1.8",, 23/01/2023, PEROU,-,2024,AUTOMATIQUE
10 KM,"HAVAL
JOLION","

                              20 540 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"SUBARU
IMPREZA
1.6SPORT",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
CX-9
2.5","

                              36 201 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"NISSAN
SENTRA
2.0",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"CHANGAN
CS35
1.6LUXURY",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"SUZUKI
S-CROSS
1.6GL",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"HAVAL
H6","

                              23 708 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"TOYOTA
AGYA",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"FIAT
ARGO
1.3",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
CX-3
2.0","

                              21 717 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"HAVAL
JOLION","

                              17 643 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"CHANGAN
CX70
1.6",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MITSUBISHI
MONTERO
V6 3.0ES SPORT",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"TOYOTA
PRADO
2.7L",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"CHEVROLET
ONIX
1.0PREMIER",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
2
1.5SPORT","

                              19 454 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"CHANGAN
CX70
1.5",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"CHANGAN
ALSVIN",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"AUDI
A3
1.2",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
2
1.5","

                              18 549 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
2
1.5","

                              15 833 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"FIAT
500
1.2POP",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"NISSAN
QASHQAI
2.0",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"CHANGAN
CS35
1.6",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
CX-30","

                              28 506 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"CHANGAN
CS15
1.5",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
CX-3
2.0","

                              23 075 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"AUDI
Q3
1.4",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"BMW
SERIE 2
220",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"NISSAN
QASHQAI
2.0",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"CHANGAN
ALSVIN",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
CX-5
2.0","

                              28 959 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"TOYOTA
4RUNNER
SR5",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"CHANGAN
CS15
1.5",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"HONDA
CITY",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"HAVAL
JOLION","

                              22 351 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"HONDA
ODYSSEY
V6 3.5EX L",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
CX-5
2.0","

                              30 769 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"RENAULT
SANDERO
1.6INTENS",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"SUZUKI
ERTIGA
GLX",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"HYUNDAI
CRETA
1.6",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
6
2.5","

                              26 696 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"CHEVROLET
ONIX
1.0PREMIER",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"JAC
SUNRAY","

                              34 390 €  ", 23/01/2023, PEROU,DIESEL,2024,MANUELLE
10 KM,"NISSAN
KICKS",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"MAZDA
3
2.0SPORT","

                              23 980 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MITSUBISHI
ASX
2.0",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"SUBARU
XV
1.6",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"CHANGAN
CS15
1.5COMFORT",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"AUDI
Q2
1.0",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
CX-30","

                              29 864 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
3
2.0","

                              23 075 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
2
1.5SPORT","

                              16 285 €  ", 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"RENAULT
KWID
1.0",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"TOYOTA
FJ CRUISER
V6 4.0",, 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"SUZUKI
SWIFT
1.2GL",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
10 KM,"MAZDA
3
2.5SPORT","

                              28 506 €  ", 23/01/2023, PEROU,ESSENCE,2024,AUTOMATIQUE
10 KM,"NISSAN
MARCH
1.6",, 23/01/2023, PEROU,ESSENCE,2024,MANUELLE
