car_name,car_price
CUPRA Formentor,"43 830,01€"
CUPRA Formentor,"43 835,00€"
CUPRA Leon Sportstourer,"43 840,00€"
CUPRA Formentor,"43 840,01€"
CUPRA Formentor,"43 865,00€"
CUPRA Leon,"43 885,01€"
CUPRA Formentor,"43 900,01€"
CUPRA Formentor,"43 925,00€"
CUPRA Formentor,"43 945,00€"
CUPRA Formentor,"43 950,00€"
CUPRA Formentor,"43 985,00€"
CUPRA Formentor,"43 990,01€"
CUPRA Leon,"43 995,01€"
CUPRA Formentor,"44 005,01€"
CUPRA Leon,"44 010,00€"
CUPRA Formentor,"44 010,00€"
CUPRA Formentor,"44 025,00€"
CUPRA Formentor,"44 035,01€"
CUPRA Formentor,"44 055,00€"
CUPRA Formentor,"44 065,01€"
CUPRA Formentor,"44 090,00€"
CUPRA Leon Sportstourer,"44 110,01€"
CUPRA Formentor,"44 115,00€"
CUPRA Formentor,"44 119,99€"
CUPRA Formentor,"44 155,01€"
CUPRA Formentor,"44 170,01€"
CUPRA Formentor,"44 175,00€"
CUPRA Leon,"44 180,00€"
CUPRA Formentor,"44 185,02€"
CUPRA Formentor,"44 210,02€"
CUPRA Leon Sportstourer,"44 220,01€"
CUPRA Formentor,"44 225,00€"
CUPRA Formentor,"44 235,00€"
CUPRA Formentor,"44 240,00€"
CUPRA Leon,"44 260,01€"
CUPRA Formentor,"44 275,01€"
CUPRA Formentor,"44 280,01€"
CUPRA Formentor,"44 290,00€"
CUPRA Formentor,"44 295,00€"
CUPRA Leon Sportstourer,"44 300,00€"
CUPRA Formentor,"44 305,01€"
CUPRA Formentor,"44 310,01€"
CUPRA Formentor,"44 314,99€"
CUPRA Formentor,"44 325,00€"
CUPRA Formentor,"44 335,00€"
CUPRA Formentor,"44 335,01€"
CUPRA Formentor,"44 345,00€"
JOGGER,": 26 145,43 €"
DUSTER,
SANDERO,": 19 142,03 €"
SANDERO,": 20 455,08 €"
SANDERO,": 20 239,46 €"
SANDERO,": 20 454,10 €"
SANDERO,": 21 753,09 €"
SPRING,": 21 580,41 €"
SANDERO,": 17 960,64 €"
SANDERO,": 22 106,87 €"
SANDERO,": 21 100,90 €"
SANDERO,": 21 398,33 €"
SANDERO,": 19 732,48 €"
SPRING,
SANDERO,
JOGGER,
