Modele,Marque,Date,Location,Prix,Carburant,Kilométrage,Année,Boîte de vitesse,Departements
Fortwo,Smart, 12.10.2023, ALLEMAGNE,3 000 €,ESSENCE,175 000 KM,2009,AUTOMATIQUE,25980
Classe glc,Mercedes, 18.10.2023, ALLEMAGNE,77 980 €,HYBRIDE,9 500 KM,2023,AUTOMATIQUE,25980
Zafira tourer,Opel, 18.10.2023, ALLEMAGNE,10 600 €,ESSENCE,77 500 KM,2015,AUTOMATIQUE,25980
Fortwo cabrio,Smart, 20.10.2023, ALLEMAGNE,17 333 €,ESSENCE,22 521 KM,2020,AUTOMATIQUE,25980
350z,Nissan, 20.10.2023, ALLEMAGNE,15 490 €,ESSENCE,184 000 KM,2003,MANUELLE,25980
Classe v,Mercedes, 21.10.2023, ALLEMAGNE,54 990 €,DIESEL,32 990 KM,2019,AUTOMATIQUE,25980
A4,Audi, 22.10.2023, ALLEMAGNE,29 990 €,ESSENCE,115 000 KM,2013,AUTOMATIQUE,25980
Fortwo,Smart, 27.10.2023, ALLEMAGNE,10 890 €,ESSENCE,47 200 KM,2015,AUTOMATIQUE,25980
Golf,Volkswagen, 28.10.2023, ALLEMAGNE,23 770 €,HYBRIDE,51 010 KM,2021,AUTOMATIQUE,25980
Kadjar,Renault, 31.10.2023, ALLEMAGNE,18 990 €,ESSENCE,31 294 KM,2018,AUTOMATIQUE,25980
Classe glc,Mercedes, 03.11.2023, ALLEMAGNE,73 590 €,DIESEL,9 500 KM,2023,AUTOMATIQUE,25980
Captur,Renault, 03.11.2023, ALLEMAGNE,19 900 €,ESSENCE,26 995 KM,2020,AUTOMATIQUE,25980
Charger,Dodge, 11.11.2023, ALLEMAGNE,34 500 €,ESSENCE,41 000 KM,2020,AUTOMATIQUE,25980
Eqc,Mercedes, 14.11.2023, ALLEMAGNE,43 990 €,ELECTRIQUE,43 558 KM,2020,AUTOMATIQUE,25980
Vito tourer,Mercedes, 17.11.2023, ALLEMAGNE,45 890 €,DIESEL,75 000 KM,2020,AUTOMATIQUE,25980
Scenic,Renault, 19.11.2023, ALLEMAGNE,7 600 €,DIESEL,171 127 KM,2012,MANUELLE,25980
Scenic,Renault, 20.11.2023, ALLEMAGNE,8 100 €,DIESEL,171 127 KM,2012,MANUELLE,25980
Classe e,Mercedes, 25.11.2023, ALLEMAGNE,29 900 €,DIESEL,108 000 KM,2015,AUTOMATIQUE,25980
Classe gle,Mercedes, 25.11.2023, ALLEMAGNE,29 900 €,DIESEL,108 000 KM,2015,AUTOMATIQUE,25980
Zoe,Renault, 28.11.2023, ALLEMAGNE,18 800 €,ELECTRIQUE,9 737 KM,2020,AUTOMATIQUE,25980
Ducato,Fiat, 28.11.2023, ALLEMAGNE,7 300 €,DIESEL,183 663 KM,2007,MANUELLE,25980
Glc coupe 220,Mercedes, 02.12.2023, ALLEMAGNE,83 300 €,DIESEL,9 500 KM,2023,AUTOMATIQUE,25980
Sprinter,Mercedes, 06.12.2023, ALLEMAGNE,9 400 €,DIESEL,199 000 KM,2008,MANUELLE,25980
C4 cactus,Citroen, 09.12.2023, ALLEMAGNE,7 600 €,ESSENCE,135 000 KM,2015,MANUELLE,25980
Cabrio,Mini, 10.12.2023, ALLEMAGNE,18 750 €,ESSENCE,54 296 KM,2016,AUTOMATIQUE,25980
Fiesta,Ford, 17.12.2023, ALLEMAGNE,2 999 €,ESSENCE,177 000 KM,2009,MANUELLE,25980
Passat variant,Volkswagen, 20.12.2023, ALLEMAGNE,10 800 €,DIESEL,166 000 KM,2015,AUTOMATIQUE,25980
Classe g,Mercedes, 20.12.2023, ALLEMAGNE,239 900 €,ESSENCE,9 900 KM,2023,AUTOMATIQUE,25980
Cayenne,Porsche, 20.12.2023, ALLEMAGNE,35 900 €,DIESEL,145 000 KM,2015,AUTOMATIQUE,25980
Classe sl,Mercedes, 21.12.2023, ALLEMAGNE,67 880 €,ESSENCE,39 269 KM,2019,AUTOMATIQUE,25980
Scenic xmod,Renault, 22.12.2023, ALLEMAGNE,11 900 €,ESSENCE,11 600 KM,2016,MANUELLE,25980
Zoe,Renault, 22.12.2023, ALLEMAGNE,11 900 €,ELECTRIQUE,63 953 KM,2019,AUTOMATIQUE,25980
Grand scenic,Renault, 22.12.2023, ALLEMAGNE,19 900 €,ESSENCE,57 744 KM,2019,AUTOMATIQUE,25980
Ibiza,Seat, 22.12.2023, ALLEMAGNE,3 600 €,ESSENCE,164 520 KM,2008,MANUELLE,25980
Trafic,Renault, 23.12.2023, ALLEMAGNE,17 700 €,DIESEL,161 495 KM,2016,MANUELLE,25980
Focus,Ford, 24.12.2023, ALLEMAGNE,2 300 €,DIESEL,293 000 KM,2010,MANUELLE,25980
Transporter,Volkswagen, 27.12.2023, ALLEMAGNE,6 300 €,DIESEL,237 000 KM,2003,MANUELLE,25980
Pacifica,Chrysler, 29.12.2023, ALLEMAGNE,24 990 €,ESSENCE,63 217 KM,2017,AUTOMATIQUE,25980
Classe v,Mercedes, 30.12.2023, ALLEMAGNE,85 000 €,DIESEL,9 500 KM,2023,AUTOMATIQUE,25980
Classe cla,Mercedes, 01.01.2024, ALLEMAGNE,45 400 €,ESSENCE,11 668 KM,2023,AUTOMATIQUE,25980
Sprinter,Mercedes, 01.01.2024, ALLEMAGNE,29 990 €,DIESEL,67 591 KM,2018,MANUELLE,25980
Range rover sport,Land rover, 01.01.2024, ALLEMAGNE,10 500 €,DIESEL,140 000 KM,2008,AUTOMATIQUE,25980
Classe cla,Mercedes, 02.01.2024, ALLEMAGNE,45 400 €,ESSENCE,9 900 KM,2023,AUTOMATIQUE,25980
Golf sw,Volkswagen, 03.09.2023, ALLEMAGNE,8 950 €,DIESEL,179 800 KM,2014,AUTOMATIQUE,25997
A5,Audi, 13.09.2023, ALLEMAGNE,22 000 €,ESSENCE,111 000 KM,2016,MANUELLE,26548
A6 allroad,Audi, 11.10.2023, ALLEMAGNE,7 500 €,DIESEL,261 000 KM,2008,AUTOMATIQUE,26548
Boxster,Porsche, 04.11.2023, ALLEMAGNE,18 500 €,ESSENCE,70 000 KM,2004,MANUELLE,26548
Corsa,Opel, 05.11.2023, ALLEMAGNE,7 200 €,ESSENCE,180 000 KM,2010,MANUELLE,26548
Boxster,Porsche, 12.11.2023, ALLEMAGNE,19 800 €,ESSENCE,70 000 KM,2004,MANUELLE,26548
Zafira tourer,Opel, 22.11.2023, ALLEMAGNE,13 499 €,DIESEL,74 000 KM,2016,MANUELLE,26548
Zafira tourer,Opel, 26.11.2023, ALLEMAGNE,13 499 €,DIESEL,74 000 KM,2016,MANUELLE,26548
Outlander,Mitsubishi, 31.12.2023, ALLEMAGNE,3 200 €,ESSENCE,143 000 KM,2004,MANUELLE,26548
I10,Hyundai, 02.01.2024, ALLEMAGNE,10 000 €,ESSENCE,51 500 KM,2017,MANUELLE,26548
A6 avant,Audi, 30.08.2023, ALLEMAGNE,16 000 €,DIESEL,186 000 KM,2017,AUTOMATIQUE,25946
X-trail,Nissan, 11.11.2023, ALLEMAGNE,8 990 €,DIESEL,158 000 KM,2010,MANUELLE,25946
Mini,Mini, 28.11.2023, ALLEMAGNE,14 000 €,ESSENCE,94 000 KM,2018,AUTOMATIQUE,25946
Grandland x,Opel, 25.09.2023, ALLEMAGNE,26 500 €,HYBRIDE,36 600 KM,2020,AUTOMATIQUE,25938
Classe e,Mercedes, 09.11.2023, ALLEMAGNE,5 500 €,ESSENCE,160 000 KM,2002,AUTOMATIQUE,25938
Classe a,Mercedes, 13.11.2023, ALLEMAGNE,3 750 €,DIESEL,221 500 KM,2007,AUTOMATIQUE,25938
Golf,Volkswagen, 18.11.2023, ALLEMAGNE,5 950 €,ESSENCE,47 500 KM,2002,AUTOMATIQUE,25938
Transporter,Volkswagen, 24.11.2023, ALLEMAGNE,17 500 €,DIESEL,298 000 KM,2013,MANUELLE,25938
Serie 4,Bmw, 27.11.2023, ALLEMAGNE,22 000 €,ESSENCE,127 000 KM,2016,AUTOMATIQUE,25938
A4 avant,Audi, 30.11.2023, ALLEMAGNE,18 900 €,ESSENCE,118 000 KM,2014,MANUELLE,25938
